custom/mean_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/total_reward,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,train/std,attention/throttle_share/lidar,attention/throttle_share/angle,attention/throttle_share/prev_action,attention/throttle/speed,attention/throttle/cam,attention/throttle_share/waypoints,attention/steer/speed,attention/steer_share/angle,attention/throttle/angle,attention/steer/sensors,attention/steer_share/lidar,attention/throttle/sensors,attention/steer/cam,attention/steer_share/prev_action,attention/steer_share/waypoints,attention/throttle_share/maneuver,attention/throttle/maneuver,attention/steer/maneuver,attention/steer_sensors_vs_route,attention/steer_share/cam,attention/steer/route,attention/steer_share/speed,attention/throttle/waypoints,attention/steer/waypoints,attention/steer_share/maneuver,attention/throttle/lidar,attention/steer/angle,attention/throttle_share/speed,attention/throttle/prev_action,attention/throttle/route,attention/steer/lidar,attention/steer/prev_action,attention/throttle_share/cam,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
,,,,,71.66666666666667,6880,238,96,28,-5.9518478437499995,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.15404719680645057,8.378799654077739,0.005528255528255528,11.260846318092877,-8.318548627548331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.022599381282057733,30.729161759256385,0.020035356511490868,20.474840983635712,-2.463332559744293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1461930488199272,6.729845773719717,0.0031282586027111575,8.560915414707699,-8.479196831555777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1259178172761514,10.750764927244745,0.005723204994797087,12.125826789178868,-8.184658122949841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.62,7162,247,100,28,-5.989264270000001,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05494647771955755,16.283152821240947,0.010368663594470046,15.22912939205506,-4.285825262125489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.13213426041319826,8.317897638189606,0.004920049200492005,10.545874955931447,-7.663787103965499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020683041553320347,17.179023206059355,0.0080393032603841,14.233440417108556,-1.8201076566921905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.018075760885879928,16.789775217417628,0.010474430067775724,14.744998764603917,-1.5002881535280341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.54,7465,256,104,29,-5.85675378,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.04585566441256528,13.97753268876113,0.0070126227208976155,13.0878021509662,-3.5767418241800915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.13696694284885824,8.84227362612728,0.0056461731493099125,11.006209050056059,-8.081049628082637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1271147553921299,10.485213906969875,0.00477326968973747,12.807800720604975,-7.6268853235277945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.04575429232050809,17.55420396430418,0.011118378024852845,15.40216007394359,-3.797606262602171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,70.99,7741,267,108,28,-5.982665840000002,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
